country,sum_of_cases,sum_of_deaths,confirmed_cases_in_the_last_14_days
Algeria,39444,1391,6940
Angola,1966,90,802
Benin,2063,39,149
Botswana,1308,3,504
Burkina_Faso,1285,55,129
Burundi,416,1,21
Cameroon,18599,406,881
Cape_Verde,3253,36,622
Central_African_Republic,4679,61,61
Chad,970,76,32
Comoros,405,7,17
Congo,3835,76,289
Cote_dIvoire,17150,110,857
Democratic_Republic_of_the_Congo,9720,242,543
Djibouti,5374,59,126
Egypt,96590,5173,1838
Equatorial_Guinea,4892,83,71
Eritrea,304,0,22
Eswatini,3989,76,1133
Ethiopia,32722,572,12845
Gabon,8270,53,624
Gambia,1872,63,1201
Ghana,42993,248,5181
Guinea,8715,52,1226
Guinea_Bissau,2117,33,85
Kenya,30636,487,7434
Lesotho,946,30,220
Liberia,1282,82,66
Libya,8579,157,4516
Madagascar,14009,173,2114
Malawi,5193,163,846
Mali,2666,125,123
Mauritania,6789,157,407
Mauritius,346,10,2
Morocco,43558,681,16341
Mozambique,2914,19,885
Namibia,4464,37,1994
Niger,1167,69,15
Nigeria,49895,981,5462
Rwanda,2577,10,478
Sao_Tome_and_Principe,885,15,10
Senegal,12305,256,1873
Seychelles,127,0,1
Sierra_Leone,1959,69,104
Somalia,3257,93,37
South_Africa,592144,12264,70826
South_Sudan,2490,47,53
Sudan,12485,805,705
Togo,1173,27,185
Tunisia,2185,56,601
Uganda,1603,15,400
United_Republic_of_Tanzania,509,21,0
Western_Sahara,766,1,0
Zambia,9981,264,3401
Zimbabwe,5378,141,1157
America
Anguilla,3,0,0
Antigua_and_Barbuda,93,3,1
Argentina,299113,5877,92383
Aruba,1121,4,989
Bahamas,1424,20,709
Barbados,153,7,21
Belize,553,4,481
Bermuda,166,9,9
Bolivia,103019,4172,19658
Bonaire Saint Eustatius and Saba,13,0,0
Brazil,3407354,109888,605433
British_Virgin_Islands,11,1,2
Canada,123154,9045,5377
Cayman_Islands,203,1,0
Chile,388855,10546,25893
Colombia,489122,15619,154143
Costa_Rica,29643,314,9806
Cuba,3408,88,707
Curaçao,36,1,7
Dominica,18,0,0
Dominican_Republic,87123,1489,12828
Ecuador,102941,6105,14978
El_Salvador,23462,633,5200
Falkland_Islands_(Malvinas),13,0,0
Greenland,14,0,0
Grenada,24,0,0
Guatemala,63847,2419,11482
Guyana,737,25,240
Haiti,7921,196,389
Honduras,51670,1593,7371
Jamaica,1146,14,226
Mexico,531239,57774,81278
Montserrat,13,1,0
Nicaragua,4311,133,409
Panama,82790,1809,13366
Paraguay,10606,161,4754
Peru,549321,26658,109431
Puerto_Rico,27713,346,8389
Saint_Kitts_and_Nevis,17,0,0
Saint_Lucia,26,0,1
Saint_Vincent_and_the_Grenadines,58,0,3
Sint_Maarten,326,17,170
Suriname,3216,54,1235
Trinidad_and_Tobago,629,12,435
Turks_and_Caicos_islands,315,2,199
United_States_of_America,5482416,171821,711329
United_States_Virgin_Islands,796,9,333
Uruguay,1485,40,185
Venezuela,35697,297,14259
Asia
Afghanistan,37599,1375,770
Bahrain,47185,175,5053
Bangladesh,282344,3740,38324
Bhutan,147,0,42
Brunei_Darussalam,142,3,1
