country,Code,Year,production
Afghanistan,AFG,2018,28850
Albania,ALB,2018,15587
Algeria,DZA,2018,294663
American Samoa,ASM,2018,25
Angola,AGO,2018,27208
Antigua and Barbuda,ATG,2018,96
Argentina,ARG,2018,2114952
Armenia,ARM,2018,12300
Australia,AUS,2018,1235197
Austria,AUT,2018,152450
Azerbaijan,AZE,2018,109121
Bahamas,BHS,2018,7090
Bahrain,BHR,2018,6956
Bangladesh,BGD,2018,254433
Barbados,BRB,2018,16646
Belarus,BLR,2018,466471
Belgium,BEL,2018,469547
Belize,BLZ,2018,19924
Benin,BEN,2018,14561
Bermuda,BMU,2018,120
Bhutan,BTN,2018,755
Bolivia,BOL,2018,483877
Bosnia and Herzegovina,BIH,2018,61926
Botswana,BWA,2018,4247
Brazil,BRA,2018,15497606
Brunei,BRN,2018,25300
Bulgaria,BGR,2018,118469
Burkina Faso,BFA,2018,47484
Burundi,BDI,2018,6980
Cambodia,KHM,2018,27286
Cameroon,CMR,2018,78807
Canada,CAN,2018,1474253
Cape Verde,CPV,2018,985
Central African Republic,CAF,2018,6811
Chad,TCD,2018,6454
Chile,CHL,2018,762318
China,CHN,2018,20116635
Colombia,COL,2018,1592830
Comoros,COM,2018,601
Congo,COG,2018,7023
Cook Islands,COK,2018,18
Costa Rica,CRI,2018,135500
Cote d'Ivoire,CIV,2018,44199
Croatia,HRV,2018,64430
Cuba,CUB,2018,25326
Cyprus,CYP,2018,25805
Czech Republic,CZE,2018,168867
Democratic Republic of Congo,COD,2018,10355
Denmark,DNK,2018,156461
Dominica,DMA,2018,357
Dominican Republic,DOM,2018,330335
Ecuador,ECU,2018,349836
Egypt,EGY,2018,1199783
El Salvador,SLV,2018,137375
Equatorial Guinea,GNQ,2018,257
Eritrea,ERI,2018,1559
Estonia,EST,2018,19300
Ethiopia,ETH,2018,73931
Falkland Islands,FLK,2018,9
Fiji,FJI,2018,35971
Finland,FIN,2018,135284
France,FRA,2018,1786112
French Guiana,GUF,2018,360
French Polynesia,PYF,2018,729
Gabon,GAB,2018,3911
Gambia,GMB,2018,1632
Georgia,GEO,2018,22100
Germany,DEU,2018,1570644
Ghana,GHA,2018,65078
Greece,GRC,2018,241843
Grenada,GRD,2018,540
Guadeloupe,GLP,2018,1498
Guam,GUM,2018,176
Guatemala,GTM,2018,226742
Guinea,GIN,2018,12690
Guinea-Bissau,GNB,2018,2621
Guyana,GUY,2018,46322
Haiti,HTI,2018,8784
Honduras,HND,2018,205523
Hong Kong,HKG,2018,24954
Hungary,HUN,2018,524473
Iceland,ISL,2018,9483
India,IND,2018,3616432
Indonesia,IDN,2018,2588164
Iran,IRN,2018,2198994
Iraq,IRQ,2018,90225
Ireland,IRL,2018,126264
Israel,ISR,2018,655518
Italy,ITA,2018,1273195
Jamaica,JAM,2018,132347
Japan,JPN,2018,2250358
Jordan,JOR,2018,193586
Kazakhstan,KAZ,2018,183236
Kenya,KEN,2018,30248
Kiribati,KIR,2018,874
Kuwait,KWT,2018,61122
Kyrgyzstan,KGZ,2018,8315
Laos,LAO,2018,30838
Latvia,LVA,2018,33830
Lebanon,LBN,2018,125821
Lesotho,LSO,2018,1840
Liberia,LBR,2018,14676
Libya,LBY,2018,128782
Lithuania,LTU,2018,134293
Luxembourg,LUX,2018,286
Macao,MAC,2018,3983
Macedonia,MKD,2018,1499
Madagascar,MDG,2018,83869
Malawi,MWI,2018,190617
Malaysia,MYS,2018,1873037
Mali,MLI,2018,51046
Malta,MLT,2018,3947
Martinique,MTQ,2018,1286
Mauritania,MRT,2018,4715
Mauritius,MUS,2018,49104
Melanesia,OWID_MNS,2018,44919
Mexico,MEX,2018,3376715
Micronesia (country),FSM,2018,159
Moldova,MDA,2018,45695
Mongolia,MNG,2018,243
Montenegro,MNE,2018,4010
Montserrat,MSR,2018,84
Morocco,MAR,2018,774973
Mozambique,MOZ,2018,88781
Myanmar,MMR,2018,1896358
Namibia,NAM,2018,14936
Nauru,NRU,2018,4
Nepal,NPL,2018,60402
Netherlands,NLD,2018,1074427
Netherlands Antilles,ANT,2018,394
New Caledonia,NCL,2018,862
New Zealand,NZL,2018,231629
Nicaragua,NIC,2018,139843
Niger,NER,2018,19109
Nigeria,NGA,2018,192689
Niue,NIU,2018,25
North Korea,PRK,2018,45186
Norway,NOR,2018,98158
Oman,OMN,2018,6561
Pakistan,PAK,2018,1396127
Palestine,PSE,2018,61356
Panama,PAN,2018,208519
Papua New Guinea,PNG,2018,6629
Paraguay,PRY,2018,48216
Peru,PER,2018,1581767
Philippines,PHL,2018,1379818
Poland,POL,2018,1711195
Polynesia,OWID_PYA,2018,1674
Portugal,PRT,2018,353082
Puerto Rico,PRI,2018,41800
Qatar,QAT,2018,10004
Reunion,REU,2018,25035
Romania,ROU,2018,479867
Russia,RUS,2018,4543002
Rwanda,RWA,2018,15725
Saint Kitts and Nevis,KNA,2018,120
Saint Lucia,LCA,2018,1608
Saint Pierre and Miquelon,SPM,2018,2
Saint Vincent and the Grenadines,VCT,2018,452
Samoa,WSM,2018,468
Sao Tome and Principe,STP,2018,660
Saudi Arabia,SAU,2018,554332
Senegal,SEN,2018,64146
Serbia,SRB,2018,95556
Seychelles,SYC,2018,565
Sierra Leone,SLE,2018,16547
Singapore,SGP,2018,106750
Slovakia,SVK,2018,76642
Slovenia,SVN,2018,68963
Solomon Islands,SLB,2018,296
Somalia,SOM,2018,3841
South Africa,ZAF,2018,1761739
South Korea,KOR,2018,885091
South Sudan,SSD,2018,20000
Spain,ESP,2018,1621718
Sri Lanka,LKA,2018,187312
