Code,Year,production,country,sum_of_cases,sum_of_deaths,confirmed_cases_in_the_last_14_days,population,yearly_change,netchange,density,landarea,migrants,fert_rate,med_age,urban_pop_perc,worldshare,consumption
AFG,2018,28850,Afghanistan,37599.0,1375.0,770.0,38928346,2.33,886592,60,652860,-62920,4.6,18,25,0.5,
ALB,2018,15587,Albania,7654.0,232.0,1904.0,2877797,-0.11,-3120,105,27400,-14000,1.6,36,63,0.04,
DZA,2018,294663,Algeria,39444.0,1391.0,6940.0,43851044,1.85,797990,18,2381740,-10000,3.1,29,73,0.56,6.28100282884642
AGO,2018,27208,Angola,1966.0,90.0,802.0,32866272,3.27,1040977,26,1246700,6413,5.6,17,67,0.42,
ATG,2018,96,Antigua and Barbuda,93.0,3.0,1.0,97929,0.84,811,223,440,0,2.0,34,26,0.0,
ARG,2018,2114952,Argentina,299113.0,5877.0,92383.0,45195774,0.93,415097,17,2736690,4800,2.3,32,93,0.58,37.4989037682049
ARM,2018,12300,Armenia,41846.0,832.0,2548.0,2963243,0.19,5512,104,28470,-4998,1.8,35,63,0.04,
AUS,2018,1235197,Australia,23773.0,438.0,5044.0,25499884,1.18,296686,3,7682300,158246,1.8,38,86,0.33,45.1458924592961
AUT,2018,152450,Austria,23875.0,729.0,2403.0,9006398,0.57,51296,109,82409,65000,1.5,43,57,0.12,
AZE,2018,109121,Azerbaijan,34474.0,509.0,1564.0,10139177,0.91,91459,123,82658,1200,2.1,32,56,0.13,
BHS,2018,7090,Bahamas,1424.0,20.0,709.0,393244,0.97,3762,39,10010,1000,1.8,32,86,0.01,
BHR,2018,6956,Bahrain,47185.0,175.0,5053.0,1701575,3.68,60403,2239,760,47800,2.0,32,89,0.02,
BGD,2018,254433,Bangladesh,282344.0,3740.0,38324.0,164689383,1.01,1643222,1265,130170,-369501,2.1,28,39,2.11,1.2519956567309
BRB,2018,16646,Barbados,153.0,7.0,21.0,287375,0.12,350,668,430,-79,1.6,40,31,0.0,
BLR,2018,466471,Belarus,69673.0,617.0,1423.0,9449323,-0.03,-3088,47,202910,8730,1.7,40,79,0.12,
BEL,2018,469547,Belgium,78804.0,9959.0,6525.0,11589623,0.44,50295,383,30280,48000,1.7,42,98,0.15,
BLZ,2018,19924,Belize,553.0,4.0,481.0,397628,1.86,7275,17,22810,1200,2.3,25,46,0.01,
BEN,2018,14561,Benin,2063.0,39.0,149.0,12123200,2.73,322049,108,112760,-2000,4.9,19,48,0.16,
BMU,2018,120,Bermuda,166.0,9.0,9.0,62278,-0.36,-228,1246,50,N.A.,N.A.,97,0.00,,
BTN,2018,755,Bhutan,147.0,0.0,42.0,771608,1.12,8516,20,38117,320,2.0,28,46,0.01,
BOL,2018,483877,Bolivia,103019.0,4172.0,19658.0,11673021,1.39,159921,11,1083300,-9504,2.8,26,69,0.15,
BIH,2018,61926,Bosnia and Herzegovina,16351.0,495.0,3493.0,3280819,-0.61,-20181,64,51000,-21585,1.3,43,52,0.04,
BWA,2018,4247,Botswana,1308.0,3.0,504.0,2351627,2.08,47930,4,566730,3000,2.9,24,73,0.03,
BRA,2018,15497606,Brazil,3407354.0,109888.0,605433.0,212559417,0.72,1509890,25,8358140,21200,1.7,33,88,2.73,39.8958695844217
BRN,2018,25300,Brunei,142.0,3.0,1.0,437479,0.97,4194,83,5270,0,1.8,32,80,0.01,
BGR,2018,118469,Bulgaria,14669.0,519.0,2510.0,6948445,-0.74,-51674,64,108560,-4800,1.6,45,76,0.09,
BFA,2018,47484,Burkina Faso,1285.0,55.0,129.0,20903273,2.86,581895,76,273600,-25000,5.2,18,31,0.27,
BDI,2018,6980,Burundi,416.0,1.0,21.0,11890784,3.12,360204,463,25680,2001,5.5,17,14,0.15,
KHM,2018,27286,Cambodia,273.0,0.0,30.0,16718965,1.41,232423,95,176520,-30000,2.5,26,24,0.21,
CMR,2018,78807,Cameroon,18599.0,406.0,881.0,26545863,2.59,669483,56,472710,-4800,4.6,19,56,0.34,
CAN,2018,1474253,Canada,123154.0,9045.0,5377.0,37742154,0.89,331107,4,9093510,242032,1.5,41,81,0.48,34.6685498542252
CAF,2018,6811,Central African Republic,4679.0,61.0,61.0,4829767,1.78,84582,8,622980,-40000,4.8,18,43,0.06,
TCD,2018,6454,Chad,970.0,76.0,32.0,16425864,3.0,478988,13,1259200,2000,5.8,17,23,0.21,
CHL,2018,762318,Chile,388855.0,10546.0,25893.0,19116201,0.87,164163,26,743532,111708,1.7,35,85,0.25,34.7612479462397
CHN,2018,20116635,China,89494.0,4705.0,1288.0,1439323776,0.39,5540090,153,9388211,-348399,1.7,38,61,18.47,12.4011788521746
COL,2018,1592830,Colombia,489122.0,15619.0,154143.0,50882891,1.08,543448,46,1109500,204796,1.8,31,80,0.65,27.520754745581304
COM,2018,601,Comoros,405.0,7.0,17.0,869601,2.2,18715,467,1861,-2000,4.2,20,29,0.01,
COG,2018,7023,Congo,3835.0,76.0,289.0,89561403,3.19,2770836,40,2267050,23861,6.0,17,46,1.15,
COG,2018,7023,Congo,3835.0,76.0,289.0,5518087,2.56,137579,16,341500,-4000,4.5,19,70,0.07,
CRI,2018,135500,Costa Rica,29643.0,314.0,9806.0,5094118,0.92,46557,100,51060,4200,1.8,33,80,0.07,
CIV,2018,44199,Cote dIvoire,17150.0,110.0,857.0,26378274,2.57,661730,83,318000,-8000,4.7,19,51,0.34,
HRV,2018,64430,Croatia,6855.0,166.0,1537.0,4105267,-0.61,-25037,73,55960,-8001,1.4,44,58,0.05,
CUB,2018,25326,Cuba,3408.0,88.0,707.0,11326616,-0.06,-6867,106,106440,-14400,1.6,42,78,0.15,
CYP,2018,25805,Cyprus,1359.0,20.0,179.0,1207359,0.73,8784,131,9240,5000,1.3,37,67,0.02,
CZE,2018,168867,Czech Republic,20483.0,401.0,3197.0,10708981,0.18,19772,139,77240,22011,1.6,43,74,0.14,
DNK,2018,156461,Denmark,15855.0,621.0,1782.0,5792202,0.35,20326,137,42430,15200,1.8,42,88,0.07,
DMA,2018,357,Dominica,18.0,0.0,0.0,71986,0.25,178,96,750,N.A.,N.A.,74,0.00,,
DOM,2018,330335,Dominican Republic,87123.0,1489.0,12828.0,10847910,1.01,108952,225,48320,-30000,2.4,28,85,0.14,
ECU,2018,349836,Ecuador,102941.0,6105.0,14978.0,17643054,1.55,269392,71,248360,36400,2.4,28,63,0.23,
EGY,2018,1199783,Egypt,96590.0,5173.0,1838.0,102334404,1.94,1946331,103,995450,-38033,3.3,25,43,1.31,9.157026238205107
SLV,2018,137375,El Salvador,23462.0,633.0,5200.0,6486205,0.51,32652,313,20720,-40539,2.1,28,73,0.08,
GNQ,2018,257,Equatorial Guinea,4892.0,83.0,71.0,1402985,3.47,46999,50,28050,16000,4.6,22,73,0.02,
ERI,2018,1559,Eritrea,304.0,0.0,22.0,3546421,1.41,49304,35,101000,-39858,4.1,19,63,0.05,
EST,2018,19300,Estonia,2200.0,63.0,109.0,1326535,0.07,887,31,42390,3911,1.6,42,68,0.02,
ETH,2018,73931,Ethiopia,32722.0,572.0,12845.0,114963588,2.57,2884858,115,1000000,30000,4.3,19,21,1.47,0.540162419617581
FJI,2018,35971,Fiji,28.0,1.0,1.0,896445,0.73,6492,49,18270,-6202,2.8,28,59,0.01,
FIN,2018,135284,Finland,7776.0,334.0,293.0,5540720,0.15,8564,18,303890,14000,1.5,43,86,0.07,
FRA,2018,1786112,France,221267.0,30451.0,28933.0,65273511,0.22,143783,119,547557,36527,1.9,42,82,0.84,
PYF,2018,729,French Polynesia,211.0,0.0,149.0,280908,0.58,1621,77,3660,-1000,2.0,34,64,0.0,
GAB,2018,3911,Gabon,8270.0,53.0,624.0,2225734,2.45,53155,9,257670,3260,4.0,23,87,0.03,
GMB,2018,1632,Gambia,1872.0,63.0,1201.0,2416668,2.94,68962,239,10120,-3087,5.3,18,59,0.03,
GEO,2018,22100,Georgia,1361.0,17.0,164.0,3989167,-0.19,-7598,57,69490,-10000,2.1,38,58,0.05,
DEU,2018,1570644,Germany,226914.0,9243.0,14892.0,83783942,0.32,266897,240,348560,543822,1.6,46,76,1.07,
GHA,2018,65078,Ghana,42993.0,248.0,5181.0,31072940,2.15,655084,137,227540,-10000,3.9,22,57,0.4,6.2974443129942586
GRC,2018,241843,Greece,7472.0,232.0,2617.0,10423054,-0.48,-50401,81,128900,-16000,1.3,46,85,0.13,
GRD,2018,540,Grenada,24.0,0.0,0.0,112523,0.46,520,331,340,-200,2.1,32,35,0.0,
GUM,2018,176,Guam,599.0,5.0,210.0,168775,0.89,1481,313,540,-506,2.3,31,95,0.0,
GTM,2018,226742,Guatemala,63847.0,2419.0,11482.0,17915568,1.9,334096,167,107160,-9215,2.9,23,52,0.23,
GIN,2018,12690,Guinea,8715.0,52.0,1226.0,13132795,2.83,361549,53,245720,-4000,4.7,18,39,0.17,
GUY,2018,46322,Guyana,737.0,25.0,240.0,786552,0.48,3786,4,196850,-6000,2.5,27,27,0.01,
HTI,2018,8784,Haiti,7921.0,196.0,389.0,11402528,1.24,139451,414,27560,-35000,3.0,24,57,0.15,7.00213085362732
HND,2018,205523,Honduras,51670.0,1593.0,7371.0,9904607,1.63,158490,89,111890,-6800,2.5,24,57,0.13,
HUN,2018,524473,Hungary,4970.0,609.0,417.0,9660351,-0.25,-24328,107,90530,6000,1.5,43,72,0.12,
ISL,2018,9483,Iceland,2027.0,10.0,109.0,341243,0.65,2212,3,100250,380,1.8,37,94,0.0,
IND,2018,3616432,India,2767273.0,52889.0,859019.0,1380004385,0.99,13586631,464,2973190,-532687,2.2,28,35,17.7,2.00099968386959
IDN,2018,2588164,Indonesia,143043.0,6277.0,27987.0,273523615,1.07,2898047,151,1811570,-98955,2.3,30,56,3.51,6.802380321719
IRN,2018,2198994,Iran,347835.0,19972.0,33049.0,83992949,1.3,1079043,52,1628550,-55000,2.2,32,76,1.08,22.5724992292724
IRQ,2018,90225,Iraq,184709.0,6036.0,49987.0,40222493,2.32,912710,93,434320,7834,3.7,21,73,0.52,
IRL,2018,126264,Ireland,27499.0,1775.0,1246.0,4937786,1.13,55291,72,68890,23604,1.8,38,63,0.06,
ISR,2018,655518,Israel,96409.0,708.0,19767.0,8655535,1.6,136158,400,21640,10000,3.0,30,93,0.11,56.867477571773
ITA,2018,1273195,Italy,254636.0,35405.0,6217.0,60461826,-0.15,-88249,206,294140,148943,1.3,47,69,0.78,
JAM,2018,132347,Jamaica,1146.0,14.0,226.0,2961167,0.44,12888,273,10830,-11332,2.0,31,55,0.04,
JPN,2018,2250358,Japan,57550.0,1128.0,16421.0,126476461,-0.3,-383840,347,364555,71560,1.4,48,92,1.62,14.488577098035199
JOR,2018,193586,Jordan,1438.0,11.0,214.0,10203134,1.0,101440,115,88780,10220,2.8,24,91,0.13,
KAZ,2018,183236,Kazakhstan,123325.0,1646.0,20389.0,18776707,1.21,225280,7,2699700,-18000,2.8,31,58,0.24,13.939857194025901
KEN,2018,30248,Kenya,30636.0,487.0,7434.0,53771296,2.28,1197323,94,569140,-10000,3.5,20,28,0.69,
KWT,2018,61122,Kuwait,77470.0,505.0,8696.0,4270571,1.51,63488,240,17820,39520,2.1,37,N.A.,0.05,
KGZ,2018,8315,Kyrgyzstan,42146.0,1498.0,4036.0,6524195,1.69,108345,34,191800,-4000,3.0,26,36,0.08,
LAO,2018,30838,Laos,20.0,0.0,0.0,7275560,1.48,106105,32,230800,-14704,2.7,24,36,0.09,
